asin,brand,title,seller,price,currency,availability,rating,review_count,product_url,scraped_at
B0CZPLQZ8P,,"SAMSUNG 32-Inch Odyssey G50D Series QHD Fast IPS G-Sync Compatible Gaming Monitor, 1ms, VESA DisplayHDR 400, 180Hz, AMD FreeSync, Adjustable Stand, Eye Saver Mode, LS32DG502ENXZA, 2024",,93256.04,PKR,,4.4,839,https://www.amazon.com/dp/B0CZPLQZ8P,2026-09-05T15:45:54.116239+00:00
B0H2HG8HZV,Brand: Faadar,"Wired Ergonomic Keyboard, Full-Size USB Computer Keyboard with Wrist Rest",FaadarDirect,11106.22,PKR,In Stock,5.0,,https://www.amazon.com/dp/B0H2HG8HZV,2026-09-05T15:46:03.645545+00:00
B0F1C924S2,Visit the LEOBOG Store,"Aula F75 Wireless Mechanical Keyboard,Creamy Keyboard with RGB Backlit Hot Swappable, 81 Keys 75% Layout Gaming Keyboard, Bluetooth/2.4GHz/Type-C, Creamy Sounding - Reaper Switches",AULA Tech USA,18882.52,PKR,In Stock,4.8,179,https://www.amazon.com/dp/B0F1C924S2,2026-09-05T15:46:23.970763+00:00
B0H5B52PPV,Visit the DarkBeacon Store,"DarkBeacon Flux87 HE Mechanical Gaming Keyboard Wired, Rapid Trigger 0.01mm, AI-Powered Software, Hall Effect Magnetic Switch, Adjustable Actuation, SOCD/DKS/MT, 8KHz, Hot-Swap, RGB, for PC (Green)",DarkBeacon Direct,13883.47,PKR,Only 12 left in stock - order soon.,,,https://www.amazon.com/dp/B0H5B52PPV,2026-09-05T15:46:38.879415+00:00
B0FH666TTT,Visit the keydous Store,"NJ98 Wireless Custom Mechanical Keyboard with Screen Knob 96% Hot Swappable RGB Keyboard Mac Windows (Pale Green, Steel Plate-Mix5 Linear)",Keydous Direct,40267.35,PKR,Only 4 left in stock - order soon.,4.6,,https://www.amazon.com/dp/B0FH666TTT,2026-09-05T15:46:53.941549+00:00
B0F66MGQS1,Visit the Generic Store,Wired RGB Gaming Membrance Keyboard. 65 Percent Mini Creamy LED Computer Keyboard .Small Ergonomic Clicky Teclado with ABS Backlit Unreplaceable Keycaps. for PC Laptop MAC Gamer. (Black),Hongcai Store,6082.18,PKR,In Stock,4.2,14,https://www.amazon.com/dp/B0F66MGQS1,2026-09-05T15:47:08.760227+00:00
B079HQM71L,Visit the TECWARE Store,TECWARE Phantom 87 Key RGB Mechanical Gaming Keyboard | Outemu Red Switch | 16.8M Color LED Lighting | 18 Pre-Set | Low Latency | N-Key Rollover | Software Customizable Keys | Wired USB Connection,TECWARE,13883.47,PKR,In Stock,4.6,2265,https://www.amazon.com/dp/B079HQM71L,2026-09-05T15:47:23.974327+00:00
B0GK7FVTR4,Visit the HUANUO Store,"HUANUO FlowLift™ Pro Monitor Arm for 13–32"" Screens, MechaSpring Monitor Mount, Fully-Adjustable Monitor Stand with Tilt/Swivel/Rotation, Tool-Free VESA Mount, C-Clamp/Grommet Base, Max Load 19.8 lbs",Bestergo Direct,8328.97,PKR,In Stock,4.5,4855,https://www.amazon.com/dp/B0GK7FVTR4,2026-09-05T15:47:44.130770+00:00
B0G25VRNP2,Visit the Lenovo Store,"Lenovo ThinkPad Thunderbolt 4 Smart Dock Gen 2 7500, Multiple Display Support, Integrated 1M Thunderbolt 4 Cable, Remote Hardware Management, 40Gbps Data Speed, 100W Power Delivery, Black",,67762.12,PKR,Available to ship in 1-2 days,4.0,344,https://www.amazon.com/dp/B0G25VRNP2,2026-09-05T15:47:59.020211+00:00
B0H6WN5XLV,Brand: Faadar,"Wireless Keyboard and Mouse Combo, Quiet Ergonomic Curved Keys(Graphite)",FaadarDirect,9717.6,PKR,In Stock,4.1,211,https://www.amazon.com/dp/B0H6WN5XLV,2026-09-05T15:48:23.929476+00:00
B0BPLV294G,Visit the TECWARE Store,"TECWARE Phantom+ 87 Key RGB Mechanical Gaming Keyboard, Black | TKL Thocky Creamy Keyboard, Hot Swappable, Double Shot ABS Keycaps, Wired USB-C, N-Key Rollover | Wraith Red Linear Switch",TECWARE,16660.72,PKR,In Stock,4.5,479,https://www.amazon.com/dp/B0BPLV294G,2026-09-05T15:48:51.632800+00:00
B0BVVYW6L6,Visit the Womier Store,"Womier 60% Percent Keyboard Gaming, Creamy Mechanical Wired Keyboard Anime",Womier SHOP,10828.5,PKR,In Stock,4.7,736,https://www.amazon.com/dp/B0BVVYW6L6,2026-09-05T15:49:19.240650+00:00
B096BLNGHY,Visit the Amazon Renewed Store,Pulsar Gaming Gears - PK001 Lunar Alloy TKL Mechanical Gaming Keyboard RGB LED Rainbow Backlit USB Wired Game Keyboards for Windows PC PS5 PS4 Xbox 87 Keys Silent Outemu Switches FPS (Renewed),Evenr,5635.04,PKR,Only 5 left in stock - order soon.,4.5,2,https://www.amazon.com/dp/B096BLNGHY,2026-09-05T15:49:38.948137+00:00
B08MHZZJ58,Visit the Beastron Store,"RGB Backlit Gaming Keyboard with Mouse Combo and Mouse pad, Multimedia Keyboard Knob,Mechanical Feel USB Wired Keyboard for Windows PC, Silvery White (10209)",BEASTRON,5551.72,PKR,In Stock,4.2,291,https://www.amazon.com/dp/B08MHZZJ58,2026-09-05T15:50:04.015587+00:00
B0BX6B4K6S,Visit the Redragon Store,"Redragon K628 Pollux 75% Wired RGB Gaming Keyboard, 78 Keys Compact Mechanical Keyboard w/100% Hot-Swap Socket, Free-Mod Plate Mounted PCB & Dedicated Arrow Keys, Quiet Red Switch",,22942.53,PKR,,4.6,157,https://www.amazon.com/dp/B0BX6B4K6S,2026-09-05T15:50:26.318541+00:00
B09698GFZJ,,"Razer BlackWidow V3 TKL Mechanical Gaming Keyboard, Yellow Switches, Black",Probo Sales,26461.64,PKR,Only 1 left in stock - order soon.,4.5,456,https://www.amazon.com/dp/B09698GFZJ,2026-09-05T15:50:49.443955+00:00
B0H4GDLHC6,Visit the RK ROYAL KLUDGE Store,RK ROYAL KLUDGE R99 RGB Dual 8K Wireless Mechanical Keyboard w/Light Bar,AceGadget,27769.72,PKR,In Stock,4.4,11,https://www.amazon.com/dp/B0H4GDLHC6,2026-09-05T15:51:24.081990+00:00
B07SDMWXLN,Visit the Cakce Store,"RGB One Handed Mechanical Gaming Keyboard,Colorful Backlit,Wrist Rest Support,Professional USB Wired Single Hand Mechanical Keyboard for Game",Cakce Direct,7495.8,PKR,In Stock,4.3,1509,https://www.amazon.com/dp/B07SDMWXLN,2026-09-05T15:51:40.602241+00:00
B0B84QHPDW,Visit the MageGee Store,"MageGee One Handed Professional Gaming Keyboard, RGB Backlit 35 Keys Mini Wired Mechanical Keyboard with Blue Switch for PC Gamer, Support 6 Macro Keys - Black/Red",MageGee Store,6662.62,PKR,In Stock,4.3,206,https://www.amazon.com/dp/B0B84QHPDW,2026-09-05T15:51:58.982378+00:00
B0F9Y1D8F2,Visit the MCHOSE Store,"MCHOSE Jet 75 Rapid Trigger Keyboard 75% Percent, Hall Effect White Topographic Gaming Keyboard, Wired RGB Custom Mechanical Keyboards with Magnetic Switch, PBT Keycaps, White",MCHOSE Official,29436.07,PKR,In Stock,4.5,42,https://www.amazon.com/dp/B0F9Y1D8F2,2026-09-05T15:52:33.871845+00:00
B0BQ2ZFVNN,Visit the TECWARE Store,TECWARE Phantom+ Elite 87 Key RGB Mechanical Gaming Keyboard | 3 Mode Wireless Bluetooth 5.0 2.4GHz & USB C Wired | Hot Swappable 5 Pin | Double Shot PBT Keycaps | Wraith Red Switch - Black,TECWARE,14505.58,PKR,In Stock,4.7,146,https://www.amazon.com/dp/B0BQ2ZFVNN,2026-09-05T15:52:59.683396+00:00
B08NG7HFTQ,Visit the HK Gaming Store,"HK GAMING GK61 Mechanical Gaming Keyboard - 61 Keys Multi Color RGB Illuminated LED Backlit Wired Programmable for PC/Mac Gamer (Gateron Optical Yellow, Lavender)",Geeky USA,8328.97,PKR,In Stock,4.7,4846,https://www.amazon.com/dp/B08NG7HFTQ,2026-09-05T15:53:29.415005+00:00
B07R7P6WTF,Visit the BlueFinger Store,"RGB 87 Keys Gaming Keyboard and Backlit Mouse Combo,BlueFinger USB Wired Rainbow Keyboard,Gaming Keyboard Set for Laptop PC Computer Game and Work",BlueFinger,6662.62,PKR,In Stock,4.4,4008,https://www.amazon.com/dp/B07R7P6WTF,2026-09-05T15:53:56.700195+00:00
B094L9HWGM,,"Razer BlackWidow V3 Mini Wireless Mechanical Gaming Keyboard, Green Switch",HTechStore,26261.68,PKR,In Stock,4.4,325,https://www.amazon.com/dp/B094L9HWGM,2026-09-05T15:54:24.182209+00:00
B0D5R7P3W9,Visit the AULA Store,"AULA F87 Wireless Mechanical Keyboard, TKL Gaming Keyboard 75%, 87 Keys",AULA MALL,16660.72,PKR,In Stock,4.7,395,https://www.amazon.com/dp/B0D5R7P3W9,2026-09-05T15:54:49.147836+00:00
B09DK9CSTQ,Visit the Camiysn Store,"Camiysn Typewriter Style Mechanical Gaming Keyboard, Black Retro Punk Gaming Keyboard with RGB Backlit, 104 Keys Blue Switch Wired Cute Keyboards, Round Keycaps for Windows/Mac/PC",MAGEGEE.Store,9995.32,PKR,In Stock,4.2,6873,https://www.amazon.com/dp/B09DK9CSTQ,2026-09-05T15:55:09.331701+00:00
B0FM9HZ2NQ,Visit the Amazon Renewed Store,Razer Huntsman Mini 60% Gaming Keyboard: Linear Optical Switches - Rapid Trigger Mode - Chroma RGB Lighting - PBT Keycaps - Onboard Memory - Snap Tap - White (Renewed),Digital P,13883.47,PKR,In Stock,3.7,7,https://www.amazon.com/dp/B0FM9HZ2NQ,2026-09-05T15:55:25.836724+00:00
B0DFYNNZTP,Visit the HUO JI Store,"HUO JI Wired Gaming Keyboard with Rainbow LED Backlit, White Blue",Spring in Original,6384.9,PKR,In Stock,4.4,1236,https://www.amazon.com/dp/B0DFYNNZTP,2026-09-05T15:55:44.305270+00:00
B0FJFVZ9P4,Visit the IQUNIX Store,"IQUNIX EV63 Hall Effect Magnetic Gaming Keyboard 60% | Rapid Trigger, Adjustable Actuation for FPS Gamers | Hot Swap, SOCD, RGB, Full Aluminum Case (Silver Knight)",IQUNIX,54236.92,PKR,In Stock,4.8,59,https://www.amazon.com/dp/B0FJFVZ9P4,2026-09-05T15:56:09.217917+00:00
B0FH664KPT,Visit the keydous Store,"NJ98 Wireless Custom Mechanical Keyboard with Screen Knob 96% Hot Swappable RGB Keyboard Mac Windows (Pale Green, Brass Plate-Box Deep Sea)",Keydous Direct,44433.22,PKR,Only 8 left in stock - order soon.,4.6,,https://www.amazon.com/dp/B0FH664KPT,2026-09-05T15:56:25.805667+00:00
B0H1BQ562X,Visit the IQUNIX Store,"IQUNIX EV63 Ghost in the Shell Gaming Keyboard, Shell Core",IQUNIX,69417.36,PKR,In Stock,5.0,5,https://www.amazon.com/dp/B0H1BQ562X,2026-09-05T15:56:48.978103+00:00
B0CZ3KWC3P,,"ViewSonic VX2416A 24 Inch 1080p IPS Gaming Monitor, 120Hz, 1ms, USB C",,26817.92,PKR,,4.3,68,https://www.amazon.com/dp/B0CZ3KWC3P,2026-09-05T15:57:09.038849+00:00
B0BVSJ33R6,,"msi MAG 255XF 25-inch 1920 x 1080 (FHD) Gaming Monitor, 300Hz, AMD FreeSync Premium, HDMI, DisplayPort, VGA Port, VESA, Tilt, Speaker, 0.5ms, Black",,32979.53,PKR,,4.2,14,https://www.amazon.com/dp/B0BVSJ33R6,2026-09-05T15:57:23.891340+00:00
B0FJ1MNZ9B,,"ViewSonic VA2448-MH 24 Inch 1080p Computer Monitor, IPS 120Hz Display",,30475.3,PKR,,4.6,371,https://www.amazon.com/dp/B0FJ1MNZ9B,2026-09-05T15:57:44.556654+00:00
B0FLLGSJFT,,"LG 32UR550K-B 32-inch Ultrafine 4K UHD (3840 x 2160) Computer Monitor, HDR10, 60Hz, HDMI, DisplayPort, Tilt/Height/Pivot Adjustable Stand, Black",Beach Camera Same Day Shipping,77760.22,PKR,In Stock,4.4,96,https://www.amazon.com/dp/B0FLLGSJFT,2026-09-05T15:58:14.157750+00:00
B084RF63FK,Visit the HUANUO Store,"HUANUO Triple Monitor Mount for 17 to 32 inch Screens, Adjustment Gaming Triple Monitor Stand with Swivel, Tilt, Rotation, Clamp & Grommet Kit",,25813.94,PKR,,4.3,7263,https://www.amazon.com/dp/B084RF63FK,2026-09-05T15:58:39.247542+00:00
B0F72ZCGWB,,"ASUS VA27AQ 27 Inch 1440P QHD IPS Computer Monitor, HDMI, DisplayPort, VGA",,41655.97,PKR,In Stock,4.3,39,https://www.amazon.com/dp/B0F72ZCGWB,2026-09-05T15:59:04.020039+00:00
B0GK65SFHQ,,"msi MAG 275QPF X30 27"" Gaming Monitor, 2K 2560x1440 WQHD, 300Hz, 16:9, Anti-Glare, 1000:1, 0.5ms, HDR 400, Rapid IPS, Adaptive Sync, 2X HDMI 2.1, 1x DP 1.4a",,49981.33,PKR,,4.7,5,https://www.amazon.com/dp/B0GK65SFHQ,2026-09-05T15:59:23.890406+00:00
B0H85TQF5M,,"Samsung 24"" Odyssey G3 (G30H) IPS FHD 200Hz Gaming Monitor",,44433.22,PKR,In Stock,4.2,11,https://www.amazon.com/dp/B0H85TQF5M,2026-09-05T15:59:43.920132+00:00
B0HG1KV2TC,Visit the AOC Store,"AOC Portable Monitor 15.6'' FHD 125% sRGB 1080P IPS, USB-C HDMI Travel Monitor for Laptop, Ultra Slim External Second Screen for Work, Gaming, Mac, PS5, Xbox, Switch with Speakers & HDR, Black",AOC Top Authorized Retailer,38878.72,PKR,In Stock,4.6,4765,https://www.amazon.com/dp/B0HG1KV2TC,2026-09-05T16:00:08.863144+00:00
B0H1NSV1SK,,"msi PRO MAX 241PHW E14 24-inch IPS 1920 x1440(FHD) Hub Computer Monitor, 144Hz, Free-Synch, HDR Ready, HDMI, DisplayPort, Type C 65W, ΔE < 2, Circular Polarizer, Height Adjustable, Speaker, White",,49981.33,PKR,,4.1,7,https://www.amazon.com/dp/B0H1NSV1SK,2026-09-05T16:00:28.899299+00:00
B08WJ26WP6,Visit the Amazon Basics Store,"Amazon Basics 24-inch Full HD IPS Monitor, 75 Hz, 1080P, HDMI, Display Port and VGA Input, Adjustable Stand, VESA Compatible, Built-in Speakers for Office and Home, Black",,26686.6,PKR,In Stock,4.6,830,https://www.amazon.com/dp/B08WJ26WP6,2026-09-05T16:00:49.032941+00:00
B0HF4NJC9W,Visit the AOC Store,"AOC Computer Speakers for Desktop PC, Laptop, and Monitor, Gaming Speakers",AOC US Zone,8326.2,PKR,In Stock,4.6,464,https://www.amazon.com/dp/B0HF4NJC9W,2026-09-05T16:01:03.874635+00:00
B0GL318X6B,Visit the PIJ Store,PIJ 27 Inch Curved Gaming Monitor 250Hz FHD PC Screen Built-in Speakers,Wanbohui Shangmao,36101.47,PKR,In Stock,4.3,33,https://www.amazon.com/dp/B0GL318X6B,2026-09-05T16:01:33.891285+00:00
B0FZ8M3TWB,Visit the KTC Store,"KTC 27 Inch Gaming Monitor 4K, Dual Mode UHD 160Hz & FHD 320Hz, PD 90W Type-C, HDR 400, Fast IPS, 125% sRGB, Adaptive Sync, HDMI 2.1&DP 1.4, Eye Care, Tilt/Swivel/Pivot/Height Adjustment, VESA, H27P6",Ktcmonitor-Official,72233.5,PKR,In Stock,4.4,11,https://www.amazon.com/dp/B0FZ8M3TWB,2026-09-05T16:02:23.934539+00:00
B0FPGK3C92,,"msi MAG 322URDF E16 32-inch 3840 x 2160 (UHD) Gaming Monitor, 320Hz, AMD FreeSync Premium, HDMI, DisplayPort, VESA, Tilt, Height Adjustable, Speaker, 0.05ms, Black",,93256.04,PKR,,3.7,33,https://www.amazon.com/dp/B0FPGK3C92,2026-09-05T16:02:49.211383+00:00
B0F29KYCG2,Visit the ArcticPro Store,"ArcticPro 27 Inch Gaming Monitor, 240Hz Monitor, FHD, IPS, Adaptive Sync",Yulian Tech,27769.72,PKR,In Stock,4.4,29,https://www.amazon.com/dp/B0F29KYCG2,2026-09-05T16:03:08.878030+00:00
B0BQ2Z8VS6,Visit the TECWARE Store,"TECWARE Phantom+ Elite 87 Key RGB Mechanical Gaming Keyboard | 3-Mode Wireless Bluetooth 5.0, 2.4GHz & USB-C Wired | Hot-Swappable 5-Pin | Double-Shot PBT Keycaps | Wraith Brown Switch - Black",TECWARE,13744.61,PKR,In Stock,4.6,301,https://www.amazon.com/dp/B0BQ2Z8VS6,2026-09-05T16:03:29.640855+00:00
B0GL5HC7VV,Visit the YUNZII Store,"YUNZII C98 Cute Cake Wireless Mechanical Keyboard (Beige, Candy Switch)",Yunzii Keyboard,105.99,USD,In Stock,4.8,310,https://www.amazon.com/dp/B0GL5HC7VV,2026-09-05T16:03:54.686089+00:00
B099SBTMX6,Brand: Orzly,"Orzly Pink Gaming Keyboard RGB USB Wired Rainbow Keyboard Designed for PC Gamers, PS4, PS5, Laptop, Xbox, Nintendo Switch, RX-250 Hornet Edition",Syntiga North America USA,22.91,USD,In Stock,4.2,1709,https://www.amazon.com/dp/B099SBTMX6,2026-09-05T16:04:19.266089+00:00
